08-13 16:02:09.733  5626  5626 D RootViewPicker: Root not ready - waiting: 25ms for one to appear.
08-13 16:02:09.739  5626  5626 D LifecycleMonitor: Lifecycle status change: androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity@fd743af in: STOPPED
08-13 16:02:09.740  5626  5626 V ActivityScenario: Activity lifecycle changed event received but ignored because the intent does not match. startActivityIntent=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] cmp=com.example.lunchtray/androidx.fragment.app.testing.FragmentScenario$EmptyFragmentActivity (has extras) }, activity.getIntent()=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10008000 cmp=com.example.lunchtray/androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity (has extras) }, activity=androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity@fd743af
08-13 16:02:09.740  5626  5626 V ActivityScenario: Activity lifecycle changed event received but ignored because the intent does not match. startActivityIntent=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] cmp=com.example.lunchtray/.MainActivity }, activity.getIntent()=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10008000 cmp=com.example.lunchtray/androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity (has extras) }, activity=androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity@fd743af
08-13 16:02:09.740  5626  5626 I chatty  : uid=10130(com.example.lunchtray) identical 1 line
08-13 16:02:09.740  5626  5626 V ActivityScenario: Activity lifecycle changed event received but ignored because the intent does not match. startActivityIntent=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] cmp=com.example.lunchtray/.MainActivity }, activity.getIntent()=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10008000 cmp=com.example.lunchtray/androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity (has extras) }, activity=androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity@fd743af
08-13 16:02:09.750   524   559 D ArtManagerInternalImpl: /data/misc/iorapd/com.example.lunchtray/1/com.example.lunchtray.MainActivity/compiled_traces/compiled_trace.pb doesn't exist
08-13 16:02:09.761  5626  5626 I ViewInteraction: Performing 'single click' action on view view.getId() is <2131231208/com.example.lunchtray:id/start_order_btn>
08-13 16:02:09.765   524   559 I ActivityTaskManager: Displayed com.example.lunchtray/.MainActivity: +376ms
08-13 16:02:09.834   524   829 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
08-13 16:02:09.963   524   540 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
08-13 16:02:10.248  5626  5626 I ViewInteraction: Performing 'single click' action on view view.getId() is <2131230844/com.example.lunchtray:id/cauliflower>
08-13 16:02:10.311   524   540 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
08-13 16:02:10.354   401   401 I perfetto: probes_producer.cc:329  Producer stop (id=38)
08-13 16:02:10.373   403   403 I perfetto: ng_service_impl.cc:1948 Tracing session 38 ended, total sessions:1
08-13 16:02:10.445   524   829 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
08-13 16:02:10.631  5626  5626 I ViewInteraction: Performing 'single click' action on view view.getId() is <2131231081/com.example.lunchtray:id/next_button>
08-13 16:02:10.713   524   540 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
08-13 16:02:10.843   524   540 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
08-13 16:02:11.092  5626  5626 I ViewInteraction: Performing 'single click' action on view view.getId() is <2131231138/com.example.lunchtray:id/salad>
08-13 16:02:11.169   524   540 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
08-13 16:02:11.310   524   540 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
08-13 16:02:11.447  5626  5626 I ViewInteraction: Performing 'single click' action on view view.getId() is <2131231081/com.example.lunchtray:id/next_button>
08-13 16:02:11.527   524   829 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
08-13 16:02:11.662   524   540 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
08-13 16:02:11.856  5626  5626 I ViewInteraction: Performing 'single click' action on view view.getId() is <2131230835/com.example.lunchtray:id/bread>
08-13 16:02:11.918   524   829 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
08-13 16:02:12.033   524   829 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
08-13 16:02:12.226  5626  5626 I ViewInteraction: Performing 'single click' action on view view.getId() is <2131231081/com.example.lunchtray:id/next_button>
08-13 16:02:12.325   524  2838 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
08-13 16:02:12.453   524  2838 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
08-13 16:02:12.573  5626  5626 I ViewInteraction: Performing 'single click' action on view view.getId() is <2131231216/com.example.lunchtray:id/submit_button>
08-13 16:02:12.630   524   829 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
08-13 16:02:12.763   524   829 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
08-13 16:02:12.922  5626  5626 I ViewInteraction: Checking 'MatchesViewAssertion{viewMatcher=(view has effective visibility <VISIBLE> and view.getGlobalVisibleRect() to return non-empty rectangle)}' assertion on view an instance of android.widget.TextView and view.getText() with or without transformation to match: a string containing "Order Submitted!"
08-13 16:02:12.922  5626  5648 I TestRunner: finished: order_snackbar(com.example.lunchtray.OrderFunctionalityTests)
